frame_idx,marker_idx,geometryId,trackingId,registrationError_mm,tx_mm,ty_mm,tz_mm,r00,r01,r02,r10,r11,r12,r20,r21,r22,presenceMask,fidCorresp0,fidCorresp1,fidCorresp2,fidCorresp3,fidCorresp4,fidCorresp5,status_bits
82,0,420,82,0.170783,-167.592575,42.133511,1622.902222,0.943938,0.328824,0.029266,-0.114843,0.243967,0.962960,0.309505,-0.912335,0.268053,7,1,5,6,4294967295,4294967295,4294967295,0
83,0,420,83,0.155660,-103.116295,-62.513294,1604.380249,0.760107,0.508584,-0.404449,0.288667,0.293345,0.911384,0.582158,-0.809501,0.076163,7,8,3,2,4294967295,4294967295,4294967295,0
84,0,420,84,0.149691,-121.555580,-50.694412,1620.473755,0.783467,0.448110,-0.430554,0.318147,0.305928,0.897324,0.533819,-0.840003,0.097119,7,11,5,1,4294967295,4294967295,4294967295,0
85,0,420,85,0.157706,-89.925591,-83.620232,1658.694336,0.673455,0.541810,-0.502893,0.478353,0.199253,0.855264,0.563594,-0.816542,-0.124988,7,6,3,1,4294967295,4294967295,4294967295,0
86,0,420,86,0.161959,-122.027840,-43.906288,1655.168335,0.801774,0.589898,-0.095811,0.058522,0.082051,0.994908,0.594755,-0.803298,0.031264,7,8,7,4,4294967295,4294967295,4294967295,0
87,0,420,87,0.164582,-122.913689,-16.164284,1650.392212,0.824589,0.565711,0.004895,-0.129333,0.180080,0.975112,0.550751,-0.804700,0.221657,7,6,7,8,4294967295,4294967295,4294967295,0
88,0,420,88,0.156655,-152.140366,-15.091020,1664.434204,0.909777,0.415062,0.005462,-0.040431,0.075511,0.996325,0.413124,-0.906654,0.085480,7,4,9,12,4294967295,4294967295,4294967295,0
89,0,420,89,0.170819,-113.114952,-83.836304,1676.697021,0.791863,0.500427,-0.350037,0.457107,-0.105591,0.883122,0.404977,-0.859316,-0.312362,7,8,5,4,4294967295,4294967295,4294967295,0
90,0,420,90,0.147743,-172.650589,-7.963753,1651.702515,0.936942,0.344238,0.060331,-0.096113,0.087829,0.991488,0.336009,-0.934765,0.115376,7,6,8,9,4294967295,4294967295,4294967295,0
91,0,420,91,0.169382,-113.150299,-60.834393,1650.166870,0.781398,0.507872,-0.362606,0.389255,0.057481,0.919335,0.487747,-0.859513,-0.152776,7,6,3,1,4294967295,4294967295,4294967295,0
92,0,420,92,0.165613,-139.687988,13.346461,1661.195801,0.862122,0.493482,-0.114980,0.029842,0.177076,0.983745,0.505821,-0.851539,0.137935,7,8,2,5,4294967295,4294967295,4294967295,0
93,0,420,93,0.154073,-138.905014,-38.549728,1655.440674,0.861735,0.478138,-0.169694,0.163722,0.054511,0.984999,0.480216,-0.876591,-0.031307,7,7,3,2,4294967295,4294967295,4294967295,0
94,0,420,94,0.182531,-92.098221,-47.120335,1653.712402,0.703570,0.592913,-0.391718,0.451520,0.052671,0.890705,0.548743,-0.803542,-0.230654,7,7,5,1,4294967295,4294967295,4294967295,0
95,0,420,95,0.139618,-118.990891,-28.209932,1637.437256,0.840162,0.487142,-0.238368,0.229475,0.078924,0.970109,0.491394,-0.869749,-0.045478,7,7,6,5,4294967295,4294967295,4294967295,0
96,0,420,96,0.153475,-142.856400,-12.628004,1629.291748,0.882494,0.459852,-0.098690,0.038943,0.137670,0.989712,0.468708,-0.877259,0.103585,7,7,3,6,4294967295,4294967295,4294967295,0
97,0,420,97,0.158636,-127.150566,-28.339539,1633.180908,0.821510,0.498365,-0.277043,0.247254,0.126460,0.960663,0.513796,-0.857694,-0.019335,7,6,5,1,4294967295,4294967295,4294967295,0
98,0,420,98,0.146723,-146.092346,-3.688132,1636.974487,0.883594,0.437908,-0.165825,0.084286,0.199611,0.976244,0.460606,-0.876580,0.139466,7,7,4,5,4294967295,4294967295,4294967295,0
99,0,420,99,0.159193,-139.453201,-4.748165,1643.378906,0.887732,0.432202,-0.158535,0.087225,0.180222,0.979751,0.452022,-0.883584,0.122290,7,6,5,2,4294967295,4294967295,4294967295,0
