Timestamp;Index;CoordX;CoordY;CoordZ;Epipolar;Triangulation;Probability;LeftIndex;RightIndex
0x000000005a3fe0b5;0;92.6921;46.9951;825.3967;-0.5216;0.1902;1.0000;3;3
0x000000005a3fe0b5;1;143.1838;28.3898;795.8818;0.2038;0.0709;1.0000;2;2
0x000000005a3fe0b5;2;82.2657;-7.0241;812.5828;-0.0262;0.0094;1.0000;1;1
0x000000005a3fe0b5;3;118.2527;-33.1984;788.3247;0.0339;0.0117;1.0000;0;0
0x000000005a3ff807;0;92.7157;46.9942;825.3853;-0.5182;0.1889;1.0000;3;3
0x000000005a3ff807;1;143.2102;28.3942;795.8834;0.2016;0.0701;1.0000;2;2
0x000000005a3ff807;2;82.2903;-7.0213;812.5782;-0.0184;0.0066;1.0000;1;1
0x000000005a3ff807;3;118.2809;-33.1937;788.3188;0.0414;0.0143;1.0000;0;0
0x000000005a403dfe;0;92.7814;46.9968;825.3920;-0.5075;0.1850;1.0000;3;3
0x000000005a403dfe;1;143.2887;28.3966;795.9073;0.2058;0.0715;1.0000;2;2
0x000000005a403dfe;2;82.3688;-7.0221;812.5988;-0.0227;0.0082;1.0000;1;1
0x000000005a403dfe;3;118.3723;-33.1953;788.3583;0.0404;0.0140;1.0000;0;0
0x000000005a405550;0;92.8042;46.9998;825.3964;-0.5079;0.1852;1.0000;3;3
0x000000005a405550;1;143.3117;28.3962;795.9161;0.2034;0.0707;1.0000;2;2
0x000000005a405550;2;82.3949;-7.0247;812.6112;-0.0160;0.0058;1.0000;1;1
0x000000005a405550;3;118.4008;-33.2017;788.3798;0.0413;0.0143;1.0000;0;0
0x000000005a40a6ef;0;92.8555;47.0010;825.4247;-0.5140;0.1874;1.0000;3;3
0x000000005a40a6ef;1;143.3611;28.3893;795.9410;0.1998;0.0695;1.0000;2;2
0x000000005a40a6ef;2;82.4597;-7.0347;812.6857;-0.0175;0.0063;1.0000;1;1
0x000000005a40a6ef;3;118.4638;-33.2209;788.4641;0.0418;0.0145;1.0000;0;0
0x000000005a40be42;0;92.8643;47.0022;825.4285;-0.5062;0.1846;1.0000;3;3
0x000000005a40be42;1;143.3699;28.3874;795.9435;0.1959;0.0681;1.0000;2;2
0x000000005a40be42;2;82.4713;-7.0350;812.7011;-0.0228;0.0082;1.0000;1;1
0x000000005a40be42;3;118.4756;-33.2232;788.4778;0.0398;0.0138;1.0000;0;0
0x000000005a410438;0;92.8915;47.0183;825.4592;-0.5149;0.1877;1.0000;3;3
